uid,namedLocation,domainID,siteID,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,laboratoryName,plotID,collectDate,testedDate,bloodSampleID,bloodSampleBarcode,sampleCondition,testPathogenName,testResult,testProtocolVersion,remarks,dataQF,publicationDate,release
a57a35ff-736d-4cc7-aeb6-d5b75e268ca3,ABBY_004.mammalGrid.mam,D16,ABBY,45.76854,-122.300356,WGS84,45.1,553.8,0.1,VRL Laboratories,ABBY_004,2016-08-25,2016-10-04,ABBY.20160825.R0051.B,,OK,Hantaan virus,Negative,VRL_Pathogen_Testing_04-06-03-2006-01,,legacyData,20251204T230244Z,RELEASE-2026
b1efaa05-567d-44b5-8e3f-a74733a6cca7,ABBY_004.mammalGrid.mam,D16,ABBY,45.76854,-122.300356,WGS84,45.1,553.8,0.1,VRL Laboratories,ABBY_004,2016-08-25,2016-10-04,ABBY.20160825.R0053.B,,OK,Hantaan virus,Negative,VRL_Pathogen_Testing_04-06-03-2006-01,,legacyData,20251204T230244Z,RELEASE-2026
1b792f84-dcd2-4a93-8ed0-b259c91cb6d8,ABBY_004.mammalGrid.mam,D16,ABBY,45.76854,-122.300356,WGS84,45.1,553.8,0.1,VRL Laboratories,ABBY_004,2016-08-25,2016-10-04,ABBY.20160825.R0059.B,,OK,Hantaan virus,Negative,VRL_Pathogen_Testing_04-06-03-2006-01,,legacyData,20251204T230244Z,RELEASE-2026
f54fffb3-9a4c-4b52-8295-604d32a1037b,ABBY_004.mammalGrid.mam,D16,ABBY,45.76854,-122.300356,WGS84,45.1,553.8,0.1,VRL Laboratories,ABBY_004,2016-08-25,2016-10-04,ABBY.20160825.L0061.B,,OK,Hantaan virus,Negative,VRL_Pathogen_Testing_04-06-03-2006-01,,legacyData,20251204T230244Z,RELEASE-2026
fcd236e0-3bad-480b-97c5-004d29ed8a5c,ABBY_004.mammalGrid.mam,D16,ABBY,45.76854,-122.300356,WGS84,45.1,553.8,0.1,VRL Laboratories,ABBY_004,2016-08-25,2016-10-04,ABBY.20160825.R0050.B,,Quantity not sufficient,Hantaan virus,,VRL_Pathogen_Testing_04-06-03-2006-01,,legacyData,20251204T230244Z,RELEASE-2026
7565d951-5a58-4605-9a69-625362c36d4f,ABBY_004.mammalGrid.mam,D16,ABBY,45.76854,-122.300356,WGS84,45.1,553.8,0.1,VRL Laboratories,ABBY_004,2016-08-25,2016-10-04,ABBY.20160825.R0054.B,,OK,Hantaan virus,Negative,VRL_Pathogen_Testing_04-06-03-2006-01,,legacyData,20251204T230244Z,RELEASE-2026
3f23732b-7a41-4dc0-9011-3fea8671d2ac,ABBY_004.mammalGrid.mam,D16,ABBY,45.76854,-122.300356,WGS84,45.1,553.8,0.1,VRL Laboratories,ABBY_004,2016-08-25,2016-10-04,ABBY.20160825.R0067.B,,OK,Hantaan virus,Negative,VRL_Pathogen_Testing_04-06-03-2006-01,,legacyData,20251204T230244Z,RELEASE-2026
50e1d6b1-2f75-4f0b-9803-95dc1b5cf5c3,ABBY_004.mammalGrid.mam,D16,ABBY,45.76854,-122.300356,WGS84,45.1,553.8,0.1,VRL Laboratories,ABBY_004,2016-08-25,2016-10-04,ABBY.20160825.R0052.B,,OK,Hantaan virus,Negative,VRL_Pathogen_Testing_04-06-03-2006-01,,legacyData,20251204T230244Z,RELEASE-2026
e67c0d1c-a59f-4369-961f-c377472386ad,ABBY_004.mammalGrid.mam,D16,ABBY,45.76854,-122.300356,WGS84,45.1,553.8,0.1,VRL Laboratories,ABBY_004,2016-08-26,2016-10-04,ABBY.20160826.R0001.B,,Quantity not sufficient,Hantaan virus,,VRL_Pathogen_Testing_04-06-03-2006-01,,legacyData,20251204T230244Z,RELEASE-2026
fbe5340b-12ee-49c3-a580-a0d84d0f63f9,ABBY_010.mammalGrid.mam,D16,ABBY,45.777213,-122.373675,WGS84,45.59,574.6,0.7,VRL Laboratories,ABBY_010,2016-08-26,2016-10-04,ABBY.20160826.R0070.B,,OK,Hantaan virus,Negative,VRL_Pathogen_Testing_04-06-03-2006-01,,legacyData,20251204T230244Z,RELEASE-2026
368f4ba2-3639-41a6-8082-ac5a51c1314b,ABBY_004.mammalGrid.mam,D16,ABBY,45.76854,-122.300356,WGS84,45.1,553.8,0.1,VRL Laboratories,ABBY_004,2016-08-26,2016-10-04,ABBY.20160826.R0002.B,,OK,Hantaan virus,Negative,VRL_Pathogen_Testing_04-06-03-2006-01,,legacyData,20251204T230244Z,RELEASE-2026
27e79030-59b7-43df-9d73-593006bfc66b,ABBY_004.mammalGrid.mam,D16,ABBY,45.76854,-122.300356,WGS84,45.1,553.8,0.1,VRL Laboratories,ABBY_004,2016-08-26,2016-10-04,ABBY.20160826.R0004.B,,OK,Hantaan virus,Negative,VRL_Pathogen_Testing_04-06-03-2006-01,,legacyData,20251204T230244Z,RELEASE-2026
528fc91e-1ff2-4220-9024-50a53049eb9e,ABBY_004.mammalGrid.mam,D16,ABBY,45.76854,-122.300356,WGS84,45.1,553.8,0.1,VRL Laboratories,ABBY_004,2016-08-26,2016-10-04,ABBY.20160826.R0007.B,,OK,Hantaan virus,Negative,VRL_Pathogen_Testing_04-06-03-2006-01,,legacyData,20251204T230244Z,RELEASE-2026
0ec2c830-5300-4f24-beee-691e6cf96351,ABBY_004.mammalGrid.mam,D16,ABBY,45.76854,-122.300356,WGS84,45.1,553.8,0.1,VRL Laboratories,ABBY_004,2016-08-27,2016-10-04,ABBY.20160827.R0020.B,,Quantity not sufficient,Hantaan virus,,VRL_Pathogen_Testing_04-06-03-2006-01,,legacyData,20251204T230244Z,RELEASE-2026
8fc2e83b-e5a3-4476-ae73-60a75ab8cfae,ABBY_002.mammalGrid.mam,D16,ABBY,45.740362,-122.309739,WGS84,45.1,624.5,0.1,VRL Laboratories,ABBY_002,2016-08-27,2016-10-04,ABBY.20160827.R0083.B,,OK,Hantaan virus,Negative,VRL_Pathogen_Testing_04-06-03-2006-01,,legacyData,20251204T230244Z,RELEASE-2026
f84f0de4-476d-4261-a379-db28f27670dd,ABBY_002.mammalGrid.mam,D16,ABBY,45.740362,-122.309739,WGS84,45.1,624.5,0.1,VRL Laboratories,ABBY_002,2016-08-27,2016-10-04,ABBY.20160827.R0084.B,,OK,Hantaan virus,Negative,VRL_Pathogen_Testing_04-06-03-2006-01,,legacyData,20251204T230244Z,RELEASE-2026
