state,cumulativeCases
Alabama,0
Alaska,0
Arizona,92
Arkansas,1
California,79
Colorado,121
Connecticut,1
Delaware,1
District of Columbia,2
Florida,3
Georgia,0
Hawaii,0
Idaho,25
Illinois,6
Indiana,4
Iowa,12
Kansas,20
Kentucky,0
Louisiana,8
Maine,1
Maryland,2
Massachusetts,1
Michigan,2
Minnesota,2
Mississippi,0
Missouri,0
Montana,46
Nebraska,9
Nevada,39
New Hampshire,1
New Jersey,0
New Mexico,129
New York,6
North Carolina,1
North Dakota,20
Ohio,0
Oklahoma,9
Oregon,27
Pennsylvania,9
Rhode Island,1
South Carolina,0
South Dakota,21
Tennessee,2
Texas,49
Utah,48
Vermont,2
Virginia,1
Washington,61
West Virginia,2
Wisconsin,5
Wyoming,19
